sample_id,gender,month,height,weight,head_circ
1,male,0,51.89823241,2.303693927,34.23700722
2,male,0,51.08352038,4.01561256,34.16982786
3,male,0,50.72387874,3.781470555,32.52747419
4,male,0,50.63356043,3.084781577,35.3139195
5,male,0,52.35351428,3.286175661,32.71366861
6,male,0,47.99570624,3.64187887,34.91454961
7,male,0,47.80015281,3.762350567,32.64414301
8,male,0,51.02469741,2.100169671,35.64769635
9,male,0,49.67258964,4.321199887,35.4868545
10,male,0,50.0406099,2.314473162,36.74694981
11,male,0,51.30842702,1.843185117,33.07700534
12,male,0,51.33126059,3.96796757,35.64587976
13,male,0,49.40092604,2.241885422,34.24149017
14,male,0,49.30616665,3.143099806,34.75915007
15,male,0,50.03983736,2.357429773,34.0030028
16,male,0,51.9197338,2.043790983,34.99805552
17,male,0,50.70943892,2.990520203,33.16638621
18,male,0,52.62271427,3.752978417,33.41744267
19,male,0,49.88548995,3.521129566,35.48472834
20,male,0,52.03876845,2.850268329,31.03662105
21,male,0,51.57770439,3.288970067,34.17267232
22,male,0,51.06295858,3.230913397,33.96716339
23,male,0,50.68793134,3.283532858,35.39581333
24,male,0,49.36822345,2.987773193,35.01674559
25,male,0,49.69282873,3.552664932,32.87489058
26,male,0,50.33585144,2.542108242,36.27945643
27,male,0,49.99288889,3.564262177,35.76687389
28,male,0,51.69212649,3.062414607,36.22528218
29,male,0,49.69229747,3.065080986,33.33252022
30,male,0,49.76628385,3.794062866,36.78554123
31,male,0,48.97979373,3.000699725,35.9467464
32,male,0,49.63716098,2.610254824,35.88815712
33,male,0,49.76934528,2.457873161,33.04779218
34,male,0,45.50390203,3.76832292,34.41836492
35,male,0,47.30681978,1.666698836,34.72593434
36,male,0,49.76227487,3.008159099,32.85779044
37,male,0,49.39596083,3.427019471,34.25823545
38,male,0,47.61834828,2.337527714,35.4330015
39,male,0,46.11607747,3.304874071,34.87788389
40,male,0,49.22669848,3.769168013,34.78951773
41,male,0,51.14164195,2.022899989,36.23616712
42,male,0,53.2691534,2.678950229,33.59445066
43,male,0,49.82693209,4.533583711,35.45170845
44,male,0,52.7370512,2.841762905,35.78115509
45,male,0,50.0577421,2.623733878,32.93145519
46,male,0,50.119511,2.699597007,32.11117459
47,male,0,50.5171681,2.99597642,35.65268977
48,male,0,48.24590323,3.43014392,34.1991409
49,male,0,49.8017354,2.807432913,37.37424159
50,male,0,51.62605063,3.441203719,34.88236124
1,male,1,53.275521,4.991366923,36.46695796
2,male,1,54.08894847,4.735327059,34.42289835
3,male,1,52.51923557,5.024877991,35.52872307
4,male,1,55.37326917,3.939382365,34.84556016
5,male,1,55.50711959,4.414081025,39.91849284
6,male,1,55.93185997,4.965002014,34.96444366
7,male,1,52.38236094,4.538470518,37.24567171
8,male,1,54.90374657,4.648886524,38.10979309
9,male,1,52.90629039,4.535602476,36.11142593
10,male,1,54.69926917,4.628041795,36.67326017
11,male,1,57.25098545,4.48272895,35.20177666
12,male,1,53.74330195,3.730426301,36.49282719
13,male,1,56.06169831,4.621799532,36.06679318
14,male,1,53.27562969,4.181243294,35.59598655
15,male,1,53.7907964,5.505045203,37.2163725
16,male,1,55.53357133,4.129286881,35.50071276
17,male,1,53.40968669,4.606505977,34.64597039
18,male,1,51.46436681,3.118717073,37.48758828
19,male,1,57.10382003,4.038784868,36.74239749
20,male,1,55.38467875,3.920083146,34.55258206
21,male,1,53.59108506,5.36219248,35.65541255
22,male,1,50.9112503,4.394239834,37.52149532
